Mapa,Cve_Ent,Nom_Ent,Nom_Abr,Cve_Mun,Nom_Mun,Cve_Loc,Nom_Loc,Ámbito,Latitud,Longitud,Lat_Decimal,Lon_Decimal,Altitud,Cve_Carta,Pob_Total,Pob_Masculina,Pob_Femenina,Total De Viviendas Habitadas
"230042631","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2631","Chícharo","R","18°15´15.000"N","088°38´52.000"W","18.25416700","-88.64777800","0048","E16A75","0","0","0","0"
"230042632","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2632","Los Cinco Hermanos","R","18°33´36.828"N","088°30´36.585"W","18.56023000","-88.51016300","0047","E16A65","2","*","*","1"
"230042633","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2633","Ciricote","R","18°38´06.489"N","088°16´41.873"W","18.63513600","-88.27829800","0010","E16A66","0","0","0","0"
"230042635","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2635","El Cocal","R","18°27´38.380"N","088°53´14.295"W","18.46066100","-88.88730400","0080","E16A74","18","10","8","3"
"230042637","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2637","Los Cocos","R","18°13´07.000"N","088°40´03.000"W","18.21861100","-88.6675","0039","E16A84","0","0","0","0"
"230042638","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2638","El Cocoyol","R","18°12´15.413"N","088°52´35.299"W","18.20428100","-88.87647200","0099","E16A84","0","0","0","0"
"230042639","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2639","Colonia Electricista","R","18°29´58.068"N","088°21´06.730"W","18.49946300","-88.35186900","0010","E16A75","0","0","0","0"
"230042640","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2640","El Compadre","R","18°33´26.848"N","088°16´04.599"W","18.55745800","-88.26794400","0010","E16A66","3","*","*","1"
"230042641","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2641","Los Coquitos","R","18°27´35.295"N","089°01´41.087"W","18.45980400","-89.02808000","0140","E16A73","0","0","0","0"
"230042643","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2643","Las Palmas [Quinta]","R","18°36´48.451"N","088°15´17.088"W","18.61345900","-88.25474700","0008","E16A66","4","*","*","1"
"230042647","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2647","David Mosqueda","R","18°15´12.000"N","088°41´38.000"W","18.25333300","-88.69388900","0040","E16A74","0","0","0","0"
